county,samples,latest_date
Not specified,2,17Jul2022
Alamance,1,21Apr2022
Alexander,1,28Nov2022
Ashe,1,02Jul2023
Brunswick,1,05Jul2023
Buncombe,102,26Jul2023
Carteret,5,16May2023
Catawba,9,10Jan2023
Chatham,1,21Jul2023
Cherokee,3,01Feb2023
Craven,2,02Sep2022
Cumberland,8,19Jun2023
Dare,2,21Jul2023
Davidson,4,30Aug2022
Durham,21,05Jul2023
Forsyth,35,19Jun2023
Franklin,16,16Jul2023
Gaston,9,11Jan2023
Granville,1,05Jul2023
Guilford,166,09Jun2023
Harnett,1,26Apr2023
Haywood,8,16Jul2023
Henderson,6,18Apr2023
Hyde,1,05Jul2023
Jackson,4,19Jul2023
Johnston,1,29Nov2022
Lenoir,3,02Sep2022
Macon,35,19Jun2023
Madison,15,06Jul2023
Mecklenburg,12,15May2023
New Hanover,10,06Apr2023
Pitt,47,14Jul2023
Randolph,86,24Jul2023
Robeson,33,14Jul2023
Rowan,2,30Aug2022
Rutherford,1,21Jul2023
Stokes,4,26Jul2023
Surry,22,19Jul2023
Union,1,01Jun2023
Wake,20,23Jun2023
Washington,1,15May2023
Watauga,5,02Jul2023
Wilkes,4,19Jun2023
